reading score,writing score,math score,lunch,test preparation course,parental level of education
88,85,75,1,1,2
53,52,49,1,0,5
53,49,52,0,0,1
92,91,81,0,0,5
100,100,96,0,1,4
51,51,53,1,1,1
76,78,58,1,1,5
83,78,68,0,1,1
75,70,67,1,1,2
73,74,72,0,1,1
88,78,94,0,0,0
86,81,79,0,0,2
67,70,63,0,0,3
51,54,43,1,1,4
91,87,81,0,1,5
54,58,46,1,1,1
77,77,71,0,1,3
70,62,52,1,1,5
100,100,97,0,1,0
68,75,62,1,1,5
64,66,46,1,0,2
50,47,50,0,0,1
69,70,65,0,0,3
52,49,45,1,1,0
67,65,65,1,1,3
76,65,80,0,0,1
66,68,62,0,1,0
52,45,48,1,0,0
88,87,77,0,0,4
65,69,66,0,0,3
83,79,76,0,1,2
64,66,62,0,0,0
62,62,77,0,1,2
84,85,69,0,1,5
55,52,61,0,0,3
69,65,59,1,1,0
56,51,55,1,0,1
53,55,45,1,0,2
79,76,78,1,0,4
84,86,67,0,1,3
81,77,65,1,0,2
77,69,69,0,0,3
69,68,57,0,0,3
41,42,59,0,0,2
71,78,74,0,1,0
62,62,82,0,0,4
80,76,81,0,1,1
81,76,74,1,0,2
61,66,58,1,0,2
79,79,80,1,1,0
28,27,35,1,0,2
62,60,42,1,0,1
51,56,60,1,1,3
91,81,87,0,1,1
83,75,84,0,1,0
86,88,83,1,1,3
42,39,34,1,0,1
77,70,66,1,0,1
56,56,61,0,1,0
68,74,56,0,1,1
85,73,87,0,0,3
65,62,55,1,0,0
80,75,86,0,0,0
66,73,52,0,1,3
56,54,45,1,0,5
72,71,72,0,0,2
50,54,57,0,0,1
72,64,68,1,0,0
95,94,88,0,1,2
64,66,76,0,0,2
43,42,46,0,0,3
86,83,67,0,0,4
87,78,92,0,0,0
82,84,83,0,1,4
75,77,80,0,0,3
66,67,63,1,0,4
60,74,64,0,1,0
52,51,54,0,0,2
80,80,84,0,0,3
68,66,73,1,1,1
83,83,80,0,0,4
52,55,56,0,0,1
51,43,59,0,0,2
74,69,75,0,0,0
76,71,85,0,0,3
76,74,89,0,0,3
70,68,58,0,1,1
64,62,65,0,0,1
60,53,68,0,0,1
49,49,47,0,1,0
83,83,71,1,0,2
70,70,60,0,1,0
80,72,80,0,0,5
52,52,54,0,0,1
73,70,62,0,0,2
73,68,64,1,0,3
77,77,78,0,1,3
75,78,70,0,0,2
81,81,65,1,1,5
79,77,64,1,1,0
79,78,79,0,1,2
50,51,44,1,0,0
93,90,99,0,0,1
73,68,76,0,0,1
42,41,59,1,0,0
75,81,63,0,0,4
72,77,69,0,0,1
92,95,88,0,1,3
76,70,71,1,0,2
63,61,69,0,0,4
49,42,58,0,0,2
53,58,47,1,0,3
70,71,65,0,0,2
85,76,88,0,1,2
78,73,83,0,0,4
92,93,85,0,1,0
63,75,59,0,1,1
86,80,65,1,0,0
56,57,73,1,0,4
52,42,53,0,0,1
48,46,45,0,0,1
79,84,73,1,0,4
78,78,70,1,1,2
46,46,37,0,0,0
82,82,81,0,1,3
82,88,97,0,1,3
89,82,67,0,0,0
75,76,88,1,0,4
76,77,77,0,1,0
70,68,76,0,0,3
73,70,86,0,0,0
60,57,63,0,1,0
73,75,65,0,0,4
77,80,78,1,1,1
62,60,67,1,0,3
41,43,46,0,1,0
74,68,71,0,1,3
46,50,40,1,1,1
87,75,90,1,0,3
78,81,81,1,1,2
54,52,56,1,0,0
84,81,67,0,1,3
76,64,80,0,0,3
75,83,74,0,1,3
67,69,69,0,0,2
87,81,99,0,1,2
52,44,51,0,0,0
71,67,53,1,0,3
57,52,49,1,0,1
76,80,73,0,0,3
60,57,66,0,0,4
61,68,67,0,1,4
67,69,68,1,1,3
64,75,59,0,1,4
66,65,71,0,0,1
82,91,77,0,1,5
72,78,83,0,0,3
71,69,63,0,0,4
65,63,56,1,0,3
79,84,67,1,1,1
86,79,75,0,0,1
81,80,71,0,0,2
53,53,43,1,0,0
46,43,41,1,0,1
90,94,82,0,0,2
61,62,61,0,0,2
23,19,28,1,0,2
75,77,82,0,1,3
55,51,41,0,0,0
60,61,71,0,0,1
37,35,47,0,0,3
56,53,62,0,1,3
78,81,90,0,0,3
93,95,83,0,0,4
68,66,61,1,0,2
70,69,76,0,1,0
51,43,49,0,0,3
38,27,24,1,0,0
55,60,35,1,1,0
61,52,58,1,0,1
73,63,61,0,0,1
76,74,69,0,1,1
72,67,67,0,1,3
73,67,79,0,0,2
80,75,72,0,0,1
61,57,62,0,0,2
94,95,77,0,1,4
74,66,75,1,0,1
74,76,87,0,0,3
65,69,52,0,0,4
57,52,66,0,0,2
78,80,63,0,1,2
58,57,46,0,0,3
71,70,59,0,0,2
72,70,61,0,0,4
61,61,63,0,0,3
66,69,42,1,1,2
62,61,59,1,0,2
90,89,80,0,0,2
62,59,58,0,0,1
84,78,85,0,1,0
58,58,52,0,0,2
34,32,27,1,0,0
60,58,59,0,0,2
58,60,49,1,1,4
58,53,69,0,1,1
66,61,61,1,0,4
64,58,44,1,0,0
84,85,73,0,0,0
77,71,84,0,0,2
73,70,45,1,1,2
74,72,74,0,0,0
97,96,82,0,1,2
70,73,59,0,0,4
43,41,46,1,0,3
90,82,80,0,0,0
95,100,85,1,1,5
83,77,71,0,0,0
64,62,66,0,0,4
86,83,80,0,0,3
100,95,87,0,1,3
81,71,79,1,0,5
49,45,38,1,0,0
43,43,38,1,0,0
76,75,67,0,0,2
73,70,64,0,0,4
78,67,57,1,0,3
64,64,62,0,0,1
70,75,73,0,0,5
67,59,73,1,1,0
68,77,77,0,0,2
67,67,76,0,0,2
54,56,57,0,1,3
74,77,65,0,1,0
45,41,48,1,0,1
67,63,50,1,0,1
89,95,85,0,0,3
63,57,74,0,0,0
59,54,60,0,0,0
54,67,59,0,1,0
43,43,53,0,0,2
65,55,49,1,0,2
99,100,88,0,1,1
59,62,54,0,0,1
73,68,63,0,0,0
65,63,65,0,1,3
80,77,82,0,0,3
57,56,52,1,1,1
84,85,87,0,1,3
71,74,70,0,1,5
83,78,84,0,1,2
66,60,71,0,0,3
67,67,63,0,1,0
72,79,51,1,1,4
73,69,84,0,0,1
74,68,71,0,1,4
73,67,74,0,0,3
59,62,68,0,0,2
56,54,57,1,1,1
93,93,82,1,1,3
58,64,57,0,1,1
58,67,47,1,1,5
85,80,59,0,1,0
39,34,41,1,0,2
67,62,62,1,0,2
83,86,86,0,0,4
71,65,69,1,0,0
59,53,65,1,0,0
63,54,68,1,0,0
66,59,64,1,0,3
72,70,61,0,0,1
56,55,61,0,0,1
59,50,47,1,0,0
66,66,73,0,0,0
48,53,50,1,1,2
68,64,75,0,0,3
66,73,75,1,0,3
56,51,70,0,0,1
88,82,89,0,1,0
81,79,67,0,1,2
81,80,78,0,0,1
73,69,59,1,0,0
83,76,73,0,0,3
82,73,79,1,0,0
74,77,67,0,1,0
66,60,69,1,0,2
81,80,86,0,1,1
46,42,47,0,0,1
73,72,81,0,0,3
85,85,64,1,1,2
92,97,100,0,0,2
77,74,65,1,0,3
58,49,65,1,0,2
61,62,53,1,0,3
56,47,37,1,0,4
89,89,79,0,0,4
54,48,53,1,0,3
100,100,100,0,0,4
65,68,72,0,1,1
58,55,53,1,0,4
54,45,54,1,0,2
70,76,71,0,0,2
90,91,77,1,0,2
58,62,75,0,1,4
87,91,84,0,0,2
31,38,26,1,0,3
67,65,72,1,1,1
88,85,77,1,1,1
74,76,91,0,0,2
85,90,83,0,1,3
69,74,63,0,0,1
86,84,68,0,1,3
67,61,59,0,0,0
90,91,90,0,1,3
76,83,71,0,1,4
62,66,76,0,1,4
68,72,80,0,0,3
64,70,55,0,0,5
71,67,76,0,0,3
71,68,73,0,1,1
59,56,52,1,0,3
68,61,68,1,0,2
52,46,59,0,0,1
52,54,49,0,0,3
74,71,70,0,0,1
47,56,61,1,0,2
75,74,60,1,0,3
53,57,64,0,1,0
82,82,79,1,1,3
85,76,65,1,0,3
64,70,64,0,0,3
83,90,83,0,0,2
88,90,81,0,0,4
64,68,54,0,0,1
64,66,68,0,1,1
48,52,54,0,0,2
78,76,59,1,1,2
69,68,66,0,0,0
71,72,76,0,0,2
79,82,74,0,0,5
87,92,94,0,1,3
61,54,63,1,0,2
89,92,95,0,1,3
59,54,40,1,0,5
82,80,82,0,0,0
70,66,68,0,0,1
59,54,55,1,0,4
78,77,79,0,0,5
92,87,86,0,0,4
71,73,76,0,0,2
50,43,64,0,0,0
49,52,62,1,0,0
61,62,54,0,1,0
97,94,77,1,1,5
87,85,76,0,1,0
89,84,74,0,0,2
74,73,66,0,1,2
78,78,66,0,1,0
78,79,67,1,1,1
49,52,71,0,0,2
86,84,91,0,0,3
58,57,69,0,0,4
59,50,54,1,0,5
52,49,53,0,1,1
60,59,68,0,0,2
61,60,56,1,1,0
53,43,36,1,0,1
41,47,29,1,0,4
74,70,62,0,0,3
67,73,68,0,1,3
54,53,47,0,0,0
61,58,62,0,1,3
88,94,79,0,1,3
69,68,73,0,1,1
83,83,66,1,1,4
60,58,51,0,1,3
66,62,51,0,0,1
66,71,85,0,1,4
92,86,97,0,1,3
69,68,75,0,1,1
82,80,79,1,1,3
77,79,81,0,0,3
95,89,82,0,0,3
63,66,64,0,0,5
83,80,78,1,1,0
100,97,92,0,1,0
67,64,72,0,1,1
67,64,62,1,0,1
72,69,79,0,0,5
76,65,79,1,0,0
90,88,87,1,1,4
48,50,40,0,0,3
62,64,77,1,0,2
45,40,53,0,0,3
39,33,32,1,0,2
72,79,55,0,1,3
67,66,61,1,0,5
70,70,53,1,0,3
66,62,73,0,0,0
75,79,74,0,1,2
74,74,63,0,0,2
90,92,96,0,1,4
80,80,63,1,1,2
51,46,48,1,0,4
43,45,48,0,0,3
100,100,92,1,1,4
71,78,61,1,1,5
48,47,63,1,0,1
68,67,68,1,0,4
75,70,71,0,1,2
96,92,91,0,0,4
62,56,53,0,0,2
66,64,50,1,1,1
81,71,74,0,0,1
55,53,40,1,1,3
51,52,61,0,1,2
91,89,81,0,0,1
56,58,48,1,1,2
61,68,53,0,0,5
97,96,81,0,0,0
79,80,77,0,0,0
73,78,63,1,0,4
75,80,73,0,1,3
77,77,69,0,0,2
76,76,65,0,0,3
73,73,55,0,0,1
63,62,44,1,0,4
64,65,54,0,0,2
66,65,48,0,0,0
57,54,58,1,0,2
62,50,71,0,0,0
68,64,68,0,0,4
76,73,74,0,0,1
100,99,92,0,1,4
79,72,56,0,1,4
24,15,30,1,0,1
54,48,53,0,0,0
77,73,69,0,0,1
82,81,65,0,0,0
60,63,54,0,0,5
29,30,29,0,0,1
78,80,76,0,0,2
57,51,60,1,0,1
89,90,84,1,1,5
72,62,75,0,0,0
84,82,85,0,0,3
58,54,40,1,0,5
64,62,61,0,0,2
63,65,58,0,0,3
60,63,69,1,1,2
59,66,58,0,0,2
90,91,94,0,1,4
77,74,65,0,0,3
93,93,82,0,0,3
68,72,60,0,0,1
45,38,37,0,0,4
78,83,88,0,0,4
81,84,95,0,0,5
73,68,65,1,1,3
61,54,35,1,0,1
63,56,62,1,0,4
51,52,58,1,1,1
96,86,100,0,1,2
58,62,61,1,0,4
97,99,100,0,1,2
70,63,69,1,1,3
48,46,61,0,0,3
57,46,49,1,0,2
51,55,44,0,1,0
64,70,67,0,0,2
60,65,79,0,0,1
74,81,66,0,1,4
88,85,75,0,0,1
84,80,84,0,0,0
74,64,71,0,0,1
80,81,67,1,1,1
92,88,80,0,1,0
76,74,86,0,0,2
74,73,76,0,0,3
52,51,41,0,0,1
88,90,74,1,1,3
81,79,72,1,0,0
79,80,74,0,1,1
65,60,70,0,0,1
81,81,65,0,1,4
70,65,59,0,0,3
62,68,64,1,0,1
53,55,50,0,0,1
79,81,69,0,1,2
56,53,51,1,1,0
80,76,68,0,1,1
86,98,85,0,1,2
70,74,65,0,1,3
79,79,73,0,0,0
67,67,62,0,0,2
67,64,77,1,0,3
66,61,69,0,0,0
60,58,43,1,0,3
87,85,90,0,0,3
77,73,74,1,0,2
66,63,73,0,0,0
71,69,55,1,0,2
69,67,65,0,0,1
63,63,80,0,0,3
60,60,50,1,1,0
73,71,63,1,1,2
85,87,77,1,0,4
74,61,73,0,0,2
72,77,81,0,1,3
76,68,66,1,0,1
57,50,52,1,0,3
78,76,69,0,0,2
84,84,65,0,1,3
77,78,69,0,1,1
64,66,50,0,1,2
78,76,73,0,1,2
82,76,70,0,1,0
75,78,81,1,0,3
61,60,63,1,0,2
72,74,67,0,0,1
68,60,60,0,0,1
55,54,62,0,0,1
40,44,29,1,1,0
66,68,62,0,1,2
99,100,94,0,1,5
75,68,85,0,1,2
78,73,77,1,0,3
58,44,53,1,0,1
90,83,93,1,0,2
53,53,49,0,0,3
76,78,73,1,0,3
74,81,66,1,1,4
77,73,77,0,0,3
63,56,49,0,0,0
89,86,79,1,0,2
82,90,75,0,1,3
72,70,59,0,0,4
78,79,57,0,1,3
66,59,66,1,0,1
81,82,79,0,1,4
67,72,57,0,0,0
84,87,87,0,1,4
64,67,63,0,0,2
63,64,59,1,1,0
72,65,62,1,0,4
34,36,46,0,0,1
59,52,66,0,0,2
87,79,89,0,0,1
61,58,42,1,1,3
84,90,93,0,1,2
85,85,80,0,1,0
100,99,98,0,0,2
81,84,81,0,0,5
70,74,60,0,1,0
94,87,76,1,1,3
78,72,73,0,1,3
96,99,96,0,1,3
76,74,76,0,0,1
73,80,91,1,1,3
72,70,62,1,0,2
59,59,55,1,1,0
90,88,74,1,1,0
48,42,50,0,0,1
43,41,47,0,0,2
74,71,81,0,1,2
75,77,65,0,1,3
51,57,68,0,1,0
92,84,73,1,0,1
39,37,53,0,0,2
77,80,68,1,1,3
46,43,55,1,0,0
89,94,87,0,1,2
47,44,55,0,0,0
58,57,53,1,0,2
57,59,67,0,0,5
79,84,92,0,0,3
66,73,53,1,1,2
71,73,81,0,0,3
60,55,61,1,0,1
73,72,80,0,0,4
57,56,37,1,0,3
84,82,81,0,0,1
73,72,59,0,1,3
55,47,55,1,0,2
79,74,72,0,0,3
75,71,69,0,0,1
64,68,69,0,0,2
60,59,50,1,0,4
84,86,87,0,1,2
69,68,71,0,1,0
72,65,68,0,0,2
77,75,79,1,1,5
90,85,77,0,1,0
55,53,58,1,0,3
95,92,84,0,0,3
58,52,55,0,0,2
68,72,70,1,1,4
59,65,52,1,1,2
77,77,69,0,1,2
72,64,53,1,0,1
58,54,48,0,0,0
81,86,78,0,1,0
62,63,62,0,0,1
63,59,60,0,0,2
72,72,74,0,0,1
75,77,58,0,1,1
62,60,76,0,1,1
71,75,68,0,0,0
60,57,58,1,0,2
48,49,52,0,0,1
73,74,75,0,0,4
67,72,52,1,1,0
78,79,62,1,0,4
65,60,66,0,0,2
58,55,49,1,0,0
72,70,66,0,0,1
44,43,35,1,0,2
79,82,72,0,1,2
85,82,94,0,1,3
56,57,46,1,0,3
90,84,77,0,0,5
85,82,76,1,1,1
59,62,52,0,1,3
81,79,91,0,1,4
51,44,32,0,1,0
79,77,72,1,0,0
38,32,19,0,0,2
65,61,68,1,0,3
65,61,52,1,0,5
62,60,48,0,0,1
66,70,60,1,0,2
74,69,66,1,0,1
84,77,89,0,1,0
52,51,42,0,0,1
68,73,57,1,1,3
70,70,70,0,0,1
84,81,70,1,0,3
60,54,69,0,0,2
55,57,52,0,0,3
73,68,67,0,1,0
80,73,76,0,1,0
94,95,87,0,0,3
85,87,82,0,0,2
76,78,73,0,0,2
81,74,75,1,0,2
74,75,64,1,0,2
45,40,41,1,0,1
75,69,90,0,0,1
54,51,59,0,0,4
31,36,51,0,0,0
47,49,45,1,0,1
64,67,54,0,1,5
84,76,87,0,1,0
80,83,72,0,0,1
86,87,94,0,1,0
59,64,45,0,0,4
70,76,61,1,1,4
72,68,60,1,0,1
91,88,77,0,0,0
90,92,85,0,1,0
90,93,78,1,0,4
52,51,49,1,1,2
87,82,71,1,0,1
58,52,48,1,0,0
67,58,62,0,0,1
68,70,56,1,1,3
69,76,65,0,0,0
86,81,69,1,1,0
54,53,68,0,0,0
60,57,61,1,0,2
86,89,74,1,1,4
60,58,64,0,0,4
82,89,77,0,1,1
50,45,58,0,0,2
64,74,60,0,1,1
64,57,73,0,0,1
82,79,75,0,1,1
57,53,58,1,1,3
77,73,66,0,0,3
52,46,39,1,0,1
58,51,64,0,0,0
44,36,23,1,1,1
77,76,74,1,1,2
65,64,40,1,1,0
85,84,90,0,0,5
85,85,91,0,1,5
54,50,64,0,0,1
72,68,59,0,0,1
75,69,80,0,0,3
67,67,71,0,0,5
68,63,61,0,0,1
85,93,87,0,0,2
67,61,82,0,0,0
64,55,62,0,0,0
97,96,97,0,0,4
68,65,75,1,0,2
79,81,65,0,0,4
49,46,52,0,1,1
73,72,87,1,0,3
62,53,53,0,0,3
86,87,81,1,0,5
42,38,39,1,1,4
71,80,71,0,1,2
93,91,97,0,0,3
82,88,82,0,1,2
53,52,59,1,0,1
42,41,61,0,0,3
74,72,78,1,1,3
51,51,49,1,0,3
58,47,59,0,0,1
72,76,70,0,1,2
84,78,82,0,1,3
90,82,90,1,0,3
62,61,43,1,0,4
64,66,80,1,0,2
82,84,81,0,0,2
61,54,57,0,0,0
72,80,59,0,0,0
76,74,64,0,0,3
64,66,63,0,1,4
70,70,71,0,1,4
73,71,64,1,0,1
46,44,55,1,0,4
51,54,51,0,0,3
76,80,62,0,1,3
100,95,93,0,1,3
72,59,54,1,0,1
65,74,69,1,0,2
51,48,44,1,0,1
85,91,86,0,1,2
92,85,85,0,0,3
67,73,50,1,0,5
74,75,88,0,1,0
62,69,59,0,0,3
34,38,32,1,0,0
29,27,36,1,0,1
78,79,63,1,1,0
54,63,67,0,1,3
78,82,65,0,1,0
84,89,85,0,0,5
78,74,73,0,0,5
48,41,34,1,1,1
100,100,93,1,1,4
84,84,67,1,0,0
77,77,88,0,0,2
48,51,57,0,0,1
84,91,79,0,1,2
75,72,67,1,0,4
64,70,70,0,1,4
42,48,50,1,0,4
84,82,69,0,0,2
61,66,52,0,1,4
62,66,47,1,1,4
61,55,46,1,0,3
70,66,68,0,0,2
100,100,100,0,1,4
61,52,44,0,0,1
77,80,57,0,1,3
96,91,91,0,1,2
70,67,69,1,0,1
53,46,35,1,0,1
66,66,72,0,0,1
65,65,54,1,0,3
70,69,74,1,0,1
64,60,74,0,1,0
56,52,64,1,0,3
61,71,65,1,1,1
43,44,46,1,1,3
56,51,48,1,0,0
74,70,67,1,1,2
57,62,62,1,0,2
71,73,61,1,1,3
75,74,70,1,1,4
87,90,98,0,1,3
63,58,70,1,0,2
57,53,67,0,0,3
58,57,57,1,0,1
81,85,85,0,1,2
68,69,77,0,1,0
66,72,72,1,1,5
91,96,78,0,0,5
66,64,81,0,0,1
62,61,61,1,1,0
68,61,58,0,0,1
61,58,54,0,0,3
82,80,82,0,0,1
58,60,49,1,0,2
50,52,49,1,1,0
75,73,57,1,1,1
73,71,94,0,0,1
77,83,75,0,1,2
74,72,74,1,0,0
52,54,58,0,1,1
69,69,62,0,0,2
57,62,72,0,0,3
87,81,84,0,0,2
100,100,92,0,0,5
63,59,45,0,0,1
81,71,75,0,0,1
58,64,56,0,0,2
54,53,48,1,0,0
100,100,100,0,0,3
76,75,65,1,1,0
57,58,72,0,0,2
70,72,62,0,0,2
68,64,66,0,1,0
63,60,63,0,0,2
76,67,68,0,0,3
84,80,75,0,0,4
100,100,89,0,0,4
72,69,78,0,1,0
50,60,53,1,1,1
65,61,49,1,0,2
63,67,54,0,0,2
82,77,64,0,1,2
62,60,60,1,1,2
65,58,62,0,0,3
41,48,55,0,1,1
95,94,91,0,0,3
24,23,8,1,0,1
78,78,81,0,0,0
85,86,79,0,1,0
87,91,78,0,1,2
75,82,74,0,0,0
51,54,57,0,0,1
59,51,40,0,0,3
75,76,81,0,1,0
45,45,44,1,0,0
86,83,67,1,1,2
81,75,86,1,1,1
82,78,65,0,1,0
76,76,55,1,0,3
72,74,62,1,0,4
63,62,63,0,0,1
99,95,88,0,1,5
55,55,62,1,0,1
71,65,59,1,1,1
78,77,68,0,1,2
86,86,77,1,0,2
